"Get Directions";"Get Directions"
"Nobody has created an event with that criteria.";"Nobody has created an event with that criteria."
"%s group found.";"%s group found.";"%s groups found."
"Nobody has created a group with that criteria.";"Nobody has created a group with that criteria."
"%s member found.";"%s member found.";%s members found.
"Grid View";"Grid View"
"List View";"List View"
"Location: ";"Location: "
"Online";"Online"
"Offline";"Offline"
"No members were found matching this criteria.";"No members were found matching this criteria."
"check-in here";"check-in here"
"Check-in here";"Check-in here"
"{item:$subject} checked-into {item:$object} {VARCHECKIN:$event_date}.<br/>{body:$body}";"{item:$subject} checked-into {item:$object} {VARCHECKIN:$event_date}.<br/>{body:$body}"
"{item:$subject} added {var:$count} photo(s) to the album {item:$object} - {var:$prefixadd} {var:$location}.";"{item:$subject} added {var:$count} photo(s) to the album {item:$object} - in {var:$location}."
"{item:$subject} added {var:$count} photo(s) to the album {item:$object} - {var:$prefixadd} {var:$location}.";"{item:$subject} added {var:$count} photo(s) to the album {item:$object} - at {var:$location}."
"{item:$subject} is";"{item:$subject} is"
"{item:$subject} checked-into {item:$object}.<br/>{body:$body}";"{item:$subject} checked-into {item:$object}.<br/>{body:$body}"
"{item:$subject} was {var:$prefixadd} {var:$location} {VARCHECKIN:$event_date}.<br/>{body:$body}";"{item:$subject} was in {var:$location} {VARCHECKIN:$event_date}.<br/>{body:$body}"
"{item:$subject} was {var:$prefixadd} {var:$location} {VARCHECKIN:$event_date}.<br/>{body:$body}";"{item:$subject} was at {var:$location} {VARCHECKIN:$event_date}.<br/>{body:$body}"
"{item:$subject} updated the location of a photo to {var:$location}.";"{item:$subject} updated the location of a photo to {var:$location}."
"{item:$subject} added a new profile photo - {var:$prefixadd} {var:$location}.";"{item:$subject} added a new profile photo - in {var:$location}."
"{item:$subject} added a new profile photo - {var:$prefixadd} {var:$location}.";"{item:$subject} added a new profile photo - at {var:$location}."
"{item:$object} added {var:$count} photo(s) to the album {var:$linked_album_title} - {var:$prefixadd} {var:$location}.";"{item:$object} added {var:$count} photo(s) to the album {var:$linked_album_title} - {var:$prefixadd} {var:$location}."
"{item:$object} added {var:$count} photo(s) to the album {var:$linked_album_title} - {var:$prefixadd} {var:$location}.";"{item:$object} added {var:$count} photo(s) to the album {var:$linked_album_title} - in {var:$location}."
"{item:$object} added {var:$count} photo(s) to the album {var:$linked_album_title} - {var:$prefixadd} {var:$location}.";"{item:$object} added {var:$count} photo(s) to the album {var:$linked_album_title} - at {var:$location}."
"{item:$subject} tagged {item:$object} in a {var:$label} - {var:$prefixadd} {var:$location}.";"{item:$subject} tagged {item:$object} in a {var:$label} - in {var:$location}."
"{item:$subject} tagged {item:$object} in a {var:$label} - {var:$prefixadd} {var:$location}.";"{item:$subject} tagged {item:$object} in a {var:$label} - at {var:$location}."
"Done Adding";"Done Adding"
"There are currently no feeds for check-ins here.";"There are currently no feeds for check-ins here. "
"Add Photos to Map";"Add Photos to Map"
"Add Locations on Map";"Add Locations on Map"
"Check-in";"Check-in";"Check-ins"
"Update";"Update";"Updates"
"All";"All"
"View Map";"View Map"
"View Feeds";"View Feeds"
"Where have you been?";"Where have you been?"
"%1$s %2$s time.";"%1$s %2$s time.";"%1$s %2$s times."
"Edit Event Location";"Edit Event Location"
"Edit Group Location";"Edit Group Location"
"Edit My Location";"Edit My Location"
"You have checked-in here";"You have checked-in here"
"Total check-ins here";"Total check-ins here"
"CHECKIN_1";"Check-in";"Check-ins"
"Check-in";"Check-in"
