"Regional";"Regional"
"Religion & Beliefs";"Religion & Beliefs"
"Schools & Education";"Schools & Education"
"Science";"Science"


# item types
"ITEM_TYPE_ADVGROUP_GROUP";"Circles"
"ITEM_TYPE_ADVGROUP_ALBUM";"Circle Albums"
"ITEM_TYPE_ADVGROUP_LINK";"Circle Useful Links"
"ITEM_TYPE_ADVGROUP_ANNOUNCEMENT";"Circle Announcements"
"ITEM_TYPE_ADVGROUP_PHOTO";"Circle Photos"
"ITEM_TYPE_ADVGROUP_TOPIC";"Circle Discussion Topic"
"ITEM_TYPE_ADVGROUP_POST";"Circle Discussion Post"
"ITEM_TYPE_ADVGROUP_POLL";"Circle Polls"


# action types
"{item:$subject} created a new group:";"{item:$subject} created a new circle:"
"{item:$subject} joined the group {item:$object}";"{item:$subject} joined the circle {item:$object}"
"{item:$subject} added {var:$count} photo(s).";"{item:$subject} added {var:$count} photo(s)."
"{item:$subject} has been made an officer for the group {item:$object}";"{item:$subject} has been made an officer for the circle {item:$object}"
"{item:$subject} posted a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}";"{item:$subject} posted a {item:$object:topic} in the circle {itemParent:$object:group}: {body:$body}"
"{item:$subject} replied to a {item:$object:topic} in the group {itemParent:$object:group}: {body:$body}";"{item:$subject} replied to a {item:$object:topic} in the circle {itemParent:$object:group}: {body:$body}"
"{item:$subject} has became the owner of the group {item:$object}";"{item:$subject} has became the owner of the circle {item:$object}"
"{item:$subject} posted a new topic:";"{item:$subject} posted a new topic:"
"{item:$subject} replied to the topic {body:$body}";"{item:$subject} replied to the topic {body:$body}"
"{item:$subject} created a new poll:";"{item:$subject} created a new poll:"
"{item:$subject} created a new sub-group:";"{item:$subject} created a new sub-circle:"
"{item:$subject} posted a new video:";"{item:$subject} posted a new video:"

# notification types
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you created.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you created."
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you posted on.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::group topic} you posted on."
"{item:$subject} has invited you to the group {item:$object}.";"{item:$subject} has invited you to the circle {item:$object}."
"{item:$subject} has requested to join the group {item:$object}.";"{item:$subject} has requested to join the circle {item:$object}."
"Your request to join the group {item:$subject} has been approved.";"Your request to join the circle {item:$subject} has been approved."
"You were promoted to officer in the group {item:$object}.";"You were promoted to officer in the circle {item:$object}."
"You were set to become the owner of the group {item:$object}.";"You were set to become the owner of the circle {item:$object}."
"{item:$subject} commented on {item:$owner}''s {item:$object:advgroup_poll}.";"{item:$subject} commented on {item:$owner}''s {item:$object:advgroup_poll}."
"{item:$subject} liked {item:$owner}''s {item:$object:advgroup_poll}.";"{item:$subject} liked {item:$owner}''s {item:$object:advgroup_poll}."
