"{item:$subject} has requested to join the group {item:$object}.";"{item:$subject} has requested to join the circle {item:$object}."
"Your request to join the group {item:$subject} has been approved.";"Your request to join the circle {item:$subject} has been approved."
"You were promoted to officer in the group {item:$object}.";"You were promoted to officer in the circle {item:$object}."


# mail templates

# notify_group_accepted
"_EMAIL_NOTIFY_GROUP_ACCEPTED_TITLE";"Circle Approved"
"_EMAIL_NOTIFY_GROUP_ACCEPTED_DESCRIPTION";"This email is sent to the member when they are approved to join a circle."
"_EMAIL_NOTIFY_GROUP_ACCEPTED_SUBJECT";"You have been approved to join the circle [object_title]"
"_EMAIL_NOTIFY_GROUP_ACCEPTED_BODY";"[header]

You have been approved to join the circle ""[object_title]"". Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_group_approve
"_EMAIL_NOTIFY_GROUP_APPROVE_TITLE";"Circle Request"
"_EMAIL_NOTIFY_GROUP_APPROVE_DESCRIPTION";"This email is sent to the member when someone requests to join their circle."
"_EMAIL_NOTIFY_GROUP_APPROVE_SUBJECT";"[sender_title] has requested to join the circle [object_title]"
"_EMAIL_NOTIFY_GROUP_APPROVE_BODY";"[header]

[sender_title] has requested to join the circle ""[object_title]"". Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_group_discussion_reply
"_EMAIL_NOTIFY_GROUP_DISCUSSION_REPLY_TITLE";"Circle Discussion Reply"
"_EMAIL_NOTIFY_GROUP_DISCUSSION_REPLY_DESCRIPTION";"This email is sent to the member when people reply to discussion topics that the member created."
"_EMAIL_NOTIFY_GROUP_DISCUSSION_REPLY_SUBJECT";"A member has posted a reply to your topic ""[object_title]"" in the circle ""[object_parent_title]"""
"_EMAIL_NOTIFY_GROUP_DISCUSSION_REPLY_BODY";"[header]

[sender_title] has posted a reply to your topic ""[object_title]"" in the circle ""[object_parent_title]"":

""[message]""

Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_group_discussion_response
"_EMAIL_NOTIFY_GROUP_DISCUSSION_RESPONSE_TITLE";"Circle Discussion Response"
"_EMAIL_NOTIFY_GROUP_DISCUSSION_RESPONSE_DESCRIPTION";"This email is sent to the member when people reply to discussion topics that the member replied to."
"_EMAIL_NOTIFY_GROUP_DISCUSSION_RESPONSE_SUBJECT";"A member has posted a reply to the topic ""[object_title]"" you replied to in the circle ""[object_parent_title]"""
"_EMAIL_NOTIFY_GROUP_DISCUSSION_RESPONSE_BODY";"[header]

[sender_title] has posted a reply to the topic ""[object_title]"" you replied to in the circle ""[object_parent_title]"":

""[message]""

Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_group_invite
"_EMAIL_NOTIFY_GROUP_INVITE_TITLE";"Circle Invitation"
"_EMAIL_NOTIFY_GROUP_INVITE_DESCRIPTION";"This email is sent to the member when they are invited to a circle."
"_EMAIL_NOTIFY_GROUP_INVITE_SUBJECT";"You have been invited to join the circle [object_title]"
"_EMAIL_NOTIFY_GROUP_INVITE_BODY";"[header]

You have been invited to join the circle ""[object_title]"". Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_group_promote
"_EMAIL_NOTIFY_GROUP_PROMOTE_TITLE";"Circle Promotion"
