"_EMAIL_NOTIFY_SITEPAGEOWNER_SITEPAGEDOCUMENT_DELETE_BODY";"[header]

A document titled: [document_title_with_link], created in your page: [page_title_with_link], has been deleted at Scribd. The document creator has been notified to edit or delete this document. You may also delete this document by clicking here: [delete_document_link].

[footer]"
"_EMAIL_NOTIFY_DOCOWNER_SITEPAGEDOCUMENT_DELETE_TITLE";"Page Document getting deleted at Scribd (Creator)"
"_EMAIL_NOTIFY_DOCOWNER_SITEPAGEDOCUMENT_DELETE_DESCRIPTION";"This email is sent to a page document creator when his document gets deleted at Scribd (This happens very rarely when Scribd's algoritm detects a document to be violating a copyright. In this case, the creator may edit the document to upload a new file, or re-upload the old file.)."
"_EMAIL_NOTIFY_DOCOWNER_SITEPAGEDOCUMENT_DELETE_SUBJECT";"Your document has been deleted. Please re-upload."
"_EMAIL_NOTIFY_DOCOWNER_SITEPAGEDOCUMENT_DELETE_BODY";"[header]

The document created by you: [document_title_with_link], in this page: [page_title_with_link], has been deleted at Scribd. Please delete this document by clicking here: [delete_document_link], or edit it by clicking here: [edit_document_link], to upload a new file.

[footer]"
"{item:$object} created a new document:";"{item:$object} created a new document:"


"_EMAIL_SITEPAGEDOCUMENT_CREATENOTIFICATION_EMAIL_TITLE";"Page Document Email Notification"
"_EMAIL_SITEPAGEDOCUMENT_CREATENOTIFICATION_EMAIL_DESCRIPTION";"This email goes to the owner and page admin of the Page when member create a page document in page."
"_EMAIL_SITEPAGEDOCUMENT_CREATENOTIFICATION_EMAIL_SUBJECT";"[[page_title]] New Document: [item_title]"
"_EMAIL_SITEPAGEDOCUMENT_CREATENOTIFICATION_EMAIL_BODY";"
[header]

[body_content]

[footer]"

"{item:$subject} has created a page document {var:$eventname}.";"{item:$subject} has created a page document {var:$eventname}."



"Delete Page Document ?";"Delete Page Document ?"
"Document Category";"Document Category"
"Category:";"Category:"

#Sitemobile
"mobilepagetitle-sitepagedocument-browse-sitemobile-index";"Browse Page Documents"
"mobilepagetitle-sitepagedocument-create-sitemobile-index";"Add Document"
"mobilepagetitle-sitepagedocument-edit-sitemobile-index";"Edit Document"
"mobilepagetitle-sitepagedocument-email-sitemobile-index";"Email Document"
"mobilepagetitle-sitepagedocument-delete-sitemobile-index";"Delete Document"
"Page Profile Documents";"Page Profile Documents"
"Forms the Documents tab of your Page and shows the documents of your Page. It should be placed in the Tabbed Blocks area of the Page Profile.";"Forms the Documents tab of your Page and shows the documents of your Page. It should be placed in the Tabbed Blocks area of the Page Profile."
"Page Profile Recent Documents";"Page Profile Recent Documents"
"Most Recent Documents";"Most Recent Documents"
"Page Profile Popular Documents";"Page Profile Popular Documents"
"Page Profile Most Commented Documents";"Page Profile Most Commented Documents"
"Most Commented Documents";"Most Commented Documents"
"Page Profile Most Liked Documents";"Page Profile Most Liked Documents"
"Most Liked Documents";"Most Liked Documents"
"Page Profile Top Rated Documents";"Page Profile Top Rated Documents"
"Page Profile Featured Documents";"Page Profile Featured Documents"
"Page Profile Highlighted Documents";"Page Profile Highlighted Documents"
"Displays list of page's highlighted documents. This widget should be placed on the Page Profile.";"Displays list of page's highlighted documents. This widget should be placed on the Page Profile."
"Highlighted Page Documents";"Highlighted Page Documents"

